"var","var_2","cor"
"134","por_mora60_max1m12","saldo_mora60_1m",0.5984
"135","por_mora60_max1m12","por_cal4_max1m3",0.9278
"136","por_mora60_max1m12","por_cal34_max1m6",0.9561
"137","por_mora60_max1m12","por_mora90_1m",0.9465
"138","por_mora60_max1m12","saldo_mora90_1m",0.5957
"139","por_mora60_max1m12","por_castigo_max1m6",0.8934
"140","por_mora60_max1m12","saldo_castigo_max1m6",0.5449
"141","por_mora60_max1m12","saldo_cal34_1m",0.5253
"142","por_mora60_max1m12","por_mora_0_min1m6",-0.8166
"143","por_mora60_max1m12","por_cal4_1m",0.9308
"144","por_mora60_max1m12","por_cal0_min1m3",-0.8489
"145","por_mora60_max1m12","por_mora_0_min1m3",-0.84
"146","por_mora60_max1m12","por_vig_min1m3",-0.9477
"147","por_mora60_max1m12","por_castigo_max1m3",0.8982
"148","por_mora60_max1m12","saldo_castigo_max1m3",0.5703
"149","por_mora60_max1m12","frec_por_cal0_100_1m12",-0.8293
"150","por_mora60_max1m12","saldo_cal4_1m",0.5945
"151","por_mora60_max1m12","por_vig_min1m6",-0.9462
"152","por_mora60_max1m12","saldo_cal234_max1m3",0.3363
"153","por_mora60_max1m12","por_mora30_max1m3",0.9454
"154","por_mora60_max1m12","saldo_mora30_max1m3",0.3851
"155","por_mora60_max1m12","por_cal234_max1m3",0.9302
"156","por_mora60_max1m12","por_mora30_1m",0.9478
"157","por_mora60_max1m12","saldo_mora30_1m",0.5783
"158","por_mora60_max1m12","por_cal234_1m",0.9347
"159","por_mora60_max1m12","por_vig_1m",-0.945
"160","por_mora60_max1m12","por_vig_min1m12",-0.9564
"161","por_mora60_max1m12","por_cal0_min1m6",-0.8116
"162","por_mora60_max1m12","frec_calificacion_0_1m12",-0.8442
"163","por_mora60_max1m12","por_castigo_1m",0.9009
"164","por_mora60_max1m12","saldo_castigo_1m",0.5788
"165","por_mora60_max1m12","por_castigo_max1m12",0.9028
"166","por_mora60_max1m12","saldo_castigo_max1m12",0.4928
"167","por_mora60_max1m12","calificacion_max1m3",0.7089
"168","por_mora60_max1m12","saldo_cal234_1m",0.498
"169","por_mora60_max1m12","por_mora30_max1m6",0.9465
"170","por_mora60_max1m12","saldo_mora30_max1m6",0.3185
"171","por_mora60_max1m12","frec_mora60_1m12",0.8534
"172","por_mora60_max1m12","frec_mora90_1m12",0.8353
"173","por_mora60_max1m12","frec_por_cal4_100_1m12",0.8119
"174","por_mora60_max1m12","por_mora30_max1m12",0.9524
"175","por_mora60_max1m12","saldo_mora30_max1m12",0.27
"176","por_mora60_max1m12","frec_mora120_1m12",0.8195
"177","por_mora60_max1m12","provision",0.2383
"178","por_mora60_max1m12","frec_mora_0_1m12",-0.8186
"179","por_mora60_max1m12","frec_calificacion_34_1m12",0.8703
"180","por_mora60_max1m12","saldo_cal234_max1m6",0.278
