"var","iv_train","iv_test"
"1","ci",0.0985027382252038,0.0561175309994695
"2","por_mora60_max1m12",0.0636015397109485,0.0012185340656085
"3","saldo_mora60_max1m12",0.0636015397109485,0.0012185340656085
"4","saldo_cal34_max1m3",0.0634198520620244,0.00522835297671239
"5","por_cal34_max1m3",0.0623332827477862,0.00651412942430331
"6","por_mora60_max1m3",0.0621249380132917,0.00447393898112373
"7","saldo_mora60_max1m3",0.0621249380132917,0.00447393898112373
"8","por_mora90_max1m3",0.0612864285992657,0.00363961461353075
"9","saldo_mora90_max1m3",0.0612864285992657,0.00363961461353075
"10","por_mora90_max1m12",0.0610756573176268,0.00196729883324167
"11","saldo_mora90_max1m12",0.0610756573176268,0.00196729883324167
"12","por_mora60_max1m6",0.0605542350391899,0.00595818139961903
"13","saldo_mora60_max1m6",0.0605542350391899,0.00595818139961903
"14","saldo_cal4_max1m6",0.0599379630169321,0.00436256455085496
"15","por_mora90_max1m6",0.0595785136351152,0.00528718895586356
"16","saldo_mora90_max1m6",0.0595785136351152,0.00528718895586356
"17","saldo_cal34_max1m12",0.0589674116720229,0.00111756659579892
"18","por_cal34_max1m12",0.0580325444423508,0.000989692232865967
"19","ci_pv",0.0576480345002338,0.0452368757484779
"20","saldo_cal34_max1m6",0.0571511207003804,0.00595818139961903
"21","por_cal4_max1m6",0.0571076705515343,0.00352546412676682
"22","saldo_cal4_max1m12",0.0562743476699537,0.00182291685218016
"23","por_cal34_1m",0.0556809141696387,0.00443276774022604
"24","por_cal4_max1m12",0.0556096213147546,0.00191124179322822
"25","saldo_cal4_max1m3",0.0554946923936057,0.00288662463577038
"26","por_mora60_1m",0.0551916601351697,0.00409644000818131
"27","saldo_mora60_1m",0.0551916601351697,0.00409644000818131
"28","por_cal4_max1m3",0.0548201841479897,0.00381123366782892
"29","por_cal34_max1m6",0.0541339679992934,0.00492561081886776
"30","por_mora90_1m",0.0540720085475099,0.00531962278860543
"31","saldo_mora90_1m",0.0540720085475099,0.00531962278860543
"32","por_castigo_max1m6",0.0536881469630707,0.00160382991352223
"33","saldo_castigo_max1m6",0.0536881469630707,0.00160382991352223
"34","saldo_cal34_1m",0.0535283731970538,0.00409644000818131
"35","por_mora_0_min1m6",0.0529908961499155,0.0191202283988242
"36","por_cal4_1m",0.0529367138677247,0.00498537627371985
"37","por_cal0_min1m3",0.0529103623956131,0.00522407990291848
"38","por_mora_0_min1m3",0.0526775472271528,0.0194403181989469
"39","por_vig_min1m3",0.051725285606109,0.0149779459717819
"40","por_castigo_max1m3",0.0517099686562059,0.00281069003246193
"41","saldo_castigo_max1m3",0.0517099686562059,0.00281069003246193
"42","frec_por_cal0_100_1m12",0.0515893275291383,0.00531192867749737
"43","saldo_cal4_1m",0.0508352287768821,0.00456231459914117
"44","por_vig_min1m6",0.0505414025210379,0.0151517819175324
"45","saldo_cal234_max1m3",0.0494923140362954,0.00464895169605514
"46","por_mora30_max1m3",0.0494040634708179,0.00464895169605514
"47","saldo_mora30_max1m3",0.0494040634708179,0.00464895169605514
"48","por_cal234_max1m3",0.0487420721145736,0.00591816835646841
"49","por_mora30_1m",0.0486750405144565,0.00403008250210551
"50","saldo_mora30_1m",0.0486750405144565,0.00403008250210551
"51","por_cal234_1m",0.0481855781532016,0.00405576983003816
"52","por_vig_1m",0.0480962117388791,0.0132723989222153
"53","por_vig_min1m12",0.0478214533322533,0.0123927458129663
"54","por_cal0_min1m6",0.0475163204231683,0.00687883434277206
"55","frec_calificacion_0_1m12",0.0470994161462471,0.00876792908371709
"56","por_castigo_1m",0.0469440755618349,0.00431648579332052
"57","saldo_castigo_1m",0.0469440755618349,0.00431648579332052
"58","por_castigo_max1m12",0.0468358166738086,0.000919323637710608
"59","saldo_castigo_max1m12",0.0468358166738086,0.000919323637710608
"60","calificacion_max1m3",0.0460741330326617,0.00817124576375294
"61","saldo_cal234_1m",0.0460713495155792,0.00376580604278393
"62","por_mora30_max1m6",0.0457186785824983,0.00507095028240454
"63","saldo_mora30_max1m6",0.0457186785824983,0.00507095028240454
"64","frec_mora60_1m12",0.045028243346603,0.00736728809880141
"65","frec_mora90_1m12",0.0445554077054978,0.00196210919374506
"66","frec_por_cal4_100_1m12",0.0431077272649176,0.0086229721056563
"67","por_mora30_max1m12",0.0428237556155155,0.00134000339157694
"68","saldo_mora30_max1m12",0.0428237556155155,0.00134000339157694
"69","frec_mora120_1m12",0.0428120524878119,0.00491833832244516
"70","provision",0.0423201743241667,0.11122473583451
"71","frec_mora_0_1m12",0.0421112711646231,0.00599436515747137
"72","frec_calificacion_34_1m12",0.0418131802685482,0.0121772507052614
"73","saldo_cal234_max1m6",0.0417487065036598,0.00434306591729739
"74","por_cal0_1m",0.0417107294636664,0.00870832217649504
"75","por_mora_0_1m",0.0416275105577353,0.0158233355510177
"76","frec_calificacion_4_1m12",0.0398883862334391,0.00434671778592741
"77","por_cal234_max1m6",0.039335027864603,0.00343779075639086
"78","saldo_cal1234_max1m3",0.0387719957080233,0.0048788846627435
"79","saldo_cal234_max1m12",0.0385039998679905,0.00111875279328115
"80","por_mora_0_min1m12",0.0382797806086599,0.0111232305446318
"81","por_cal1234_max1m3",0.0380910531787537,0.00630432445680298
"82","por_cal234_max1m12",0.0379843973735251,0.00102132504922862
"83","por_cal1234_1m",0.0374921718639416,0.00845762154138871
"84","calificacion_1m",0.0365383445691436,0.00845762154138871
"85","frec_mora30_1m12",0.0365106953750367,0.00128571418301466
"86","calificacion_max1m6",0.0359595578621635,0.0116648607753653
