"var","cv_train","cv_test"
"1","edad",0.28077315287947,0.287572202751747
"2","ingreso",0.0220596246259796,0.00755962944140486
"3","maf",0.161476966917191,0.171707723974945
"4","ci",0.602233177843516,0.667157128782187
"5","cuota",0.176341764426407,0.171809896867229
"6","pv",0.170849912199517,0.182549089144929
"7","cuotas_pend",0.41522665011365,0.0537335273764319
"8","saldo_cap",0.163733753008422,0.17080595722485
"9","saldo_int",6.61304084394737,35.1567916624939
"10","saldo_mora",NA,NA
"11","provision",2.70522198742661,3.46021289590149
"12","cap_vig",0.163733753008422,0.17080595722485
"13","cap_ref",NA,NA
"14","cap_ven",NA,NA
"15","cap_jud",NA,NA
"16","mora",12.5246640993117,NA
"17","can_emp_1m",0.56889184998825,0.544645491930883
"18","cm_1m",1.52328886591809,1.48373749177011
"19","por_cal0_1m",1.3594477479254,1.30575638486358
"20","saldo_cal4_1m",1.23863936271017,1.14647187949172
"21","por_cal4_1m",0.859061235067653,0.876081564239375
"22","saldo_cal34_1m",1.36615887075032,1.14348773868024
"23","por_cal34_1m",0.831439197445595,0.856869500376464
"24","saldo_cal234_1m",1.34149240042549,1.13514711060515
"25","por_cal234_1m",0.809582032719668,0.835861188245797
"26","saldo_cal1234_1m",1.67021425334986,1.0834508630683
"27","por_cal1234_1m",0.762399986807848,0.788067720477356
"28","calificacion_1m",0.801242385838663,0.827860894423446
"29","saldo_1m",1.89036231411252,2.4421930365011
"30","mora_1m",1.21798966409313,1.27396773287195
"31","saldo_mora90_1m",1.23455041337194,1.14092377477116
"32","por_mora90_1m",0.8277719189851,0.847723082442652
"33","saldo_mora60_1m",1.21937443825476,1.14029158806176
"34","por_mora60_1m",0.816434385488632,0.840293866134394
"35","saldo_mora30_1m",1.20056527620704,1.13462984850265
"36","por_mora30_1m",0.797392334491258,0.819507544660786
"37","saldo_mora0_1m",2.11687883044333,1.06743105352949
"38","por_mora0_1m",0.718891452746584,0.73664239781296
"39","por_mora_0_1m",1.3310579657168,1.30751154466118
"40","por_vig_1m",1.21144093810152,1.17020017654373
"41","saldo_novig_1m",6.44397474254063,5.07838543381689
"42","por_novig_1m",4.50252297344977,4.39250832583467
"43","saldo_castigo_1m",1.28469727481972,1.17773227318155
"44","por_castigo_1m",0.87010674737089,0.903365175543363
"45","saldo_me_1m",15.5695766520966,12.4859444170792
"46","por_me_1m",14.1847445847598,15.9469732326233
"47","por_cal0_min1m3",1.45697933533082,1.3822934782281
"48","saldo_cal4_max1m3",1.45220970831823,1.2542382086725
"49","por_cal4_max1m3",0.849980673156619,0.872683377065445
"50","saldo_cal34_max1m3",1.77320715170668,1.51014578493036
"51","por_cal34_max1m3",0.815856302805101,0.844457606048146
"52","saldo_cal234_max1m3",1.79020352085843,1.467792158971
"53","por_cal234_max1m3",0.786587991541088,0.814439315388809
"54","saldo_cal1234_max1m3",2.14914353818188,1.43351390635538
"55","por_cal1234_max1m3",0.720917170770132,0.758947355366278
"56","calificacion_max1m3",0.717261304685939,0.705241978564539
"57","saldo_max1m3",1.86461813713612,2.32679587924101
"58","mora_max1m3",1.20757310452082,1.26853048132487
"59","saldo_mora90_max1m3",1.43217951454118,1.24815498415416
"60","por_mora90_max1m3",0.815564855288204,0.847838466875651
"61","saldo_mora60_max1m3",1.67070186029672,1.23404663099633
"62","por_mora60_max1m3",0.800738251771815,0.830600075665333
"63","saldo_mora30_max1m3",1.67525181577734,1.21164249000618
"64","por_mora30_max1m3",0.775186964219531,0.80317301934546
"65","saldo_mora0_max1m3",2.30446847320328,1.28883319070665
"66","por_mora0_max1m3",0.671590211477874,0.702195677054161
"67","por_mora_0_min1m3",1.41628778743276,1.35458904165794
"68","por_vig_min1m3",1.23651945564951,1.18295133833639
"69","saldo_novig_max1m3",6.69870614264736,4.08480720128517
"70","por_novig_max1m3",3.52930581372241,3.39108580486373
"71","saldo_castigo_max1m3",1.28897621035787,1.30336308846425
"72","por_castigo_max1m3",0.862000814128261,0.905123077050595
"73","saldo_me_max1m3",23.9366876938567,12.6898720422579
"74","por_me_max1m3",12.4431589025532,15.7551967380009
"75","por_cal0_min1m6",1.56851651509602,1.50258958777617
"76","saldo_cal4_max1m6",1.46297174611215,1.24974432282999
"77","por_cal4_max1m6",0.833794719955903,0.855299535101182
"78","saldo_cal34_max1m6",1.77908335295552,1.55792663725359
"79","por_cal34_max1m6",0.789715249695566,0.822173093125477
"80","saldo_cal234_max1m6",1.86129585860915,1.5132572503305
"81","por_cal234_max1m6",0.753360965648936,0.788687607148006
"82","saldo_cal1234_max1m6",2.1582664365946,2.13115454541541
"83","por_cal1234_max1m6",0.673711035939651,0.710707113046364
"84","calificacion_max1m6",0.718522195255179,0.709615916249249
"85","saldo_max1m6",1.84065078235821,2.23248594190886
"86","mora_max1m6",1.18910567470837,1.24896328462665
"87","saldo_mora90_max1m6",1.43011119883685,1.25018242485017
"88","por_mora90_max1m6",0.796282046417368,0.829939943216619
"89","saldo_mora60_max1m6",1.65451632113527,1.24590276833209
"90","por_mora60_max1m6",0.778834858238119,0.812759275206848
"91","saldo_mora30_max1m6",1.79747282771594,1.76547581582608
"92","por_mora30_max1m6",0.744502582805275,0.780826434958712
"93","saldo_mora0_max1m6",2.28904335921155,2.12266488119544
"94","por_mora0_max1m6",0.619715377843355,0.652219375671024
"95","por_mora_0_min1m6",1.52008916560948,1.44693393052942
"96","por_vig_min1m6",1.26875077070872,1.22054920169959
"97","saldo_novig_max1m6",6.20555913352735,3.92097387198936
"98","por_novig_max1m6",2.85850146890908,2.98957837443749
