"variable","mean","std_dev","variation_coef","p_01","p_05","p_25","p_50","p_75","p_95","p_99","skewness","kurtosis","iqr","range_98","range_80"
"32","nro_carga_gnv",0.011609907120743,0.235826815254378,20.3125496872438,0,0,0,0,0,0,0,26.246913307114,761.157389056839,0,"[0, 0]","[0, 0]"
"33","cv_carga_gnv",2.7029,1.49954531627275,0.554791267258409,0.746045,0.760625,1.5082,2.72475,3.5795,4.80513,4.880226,0.0771018099197003,1.75800043295253,2.0713,"[0.746045, 4.880226]","[0.77885, 4.71126]"
"34","relacion_im_pagcof_cuota",9.22987616099071e-05,0.00196762380942659,21.3179871008734,0,0,0,0,0,0,0,28.5338334125074,913.593276523267,0,"[0, 0]","[0, 0]"
"35","relacion_carga_gnv_cuota",0.00566663640490241,0.140142181301407,24.7311052426383,0,0,0,0,0,0,0,29.9305152870633,974.546050983093,0,"[0, 0]","[0, 0]"
"36","can_emp_1m",1.60654527559055,0.938663580401342,0.584274588872883,1,1,1,1,2,4,5,1.8000904521719,6.3541047815032,1,"[1, 5]","[1, 3]"
"37","cm_1m",142.280447801181,266.59233033284,1.87371022830466,3,10.323225,35.0216375,66.211415,123.467455,587.0489655,1207.2259264,7.5798839206864,110.759054445703,88.4458175,"[3, 1207.2259264]","[17.58875, 328.462703]"
"38","por_cal0_1m",39.538781988189,48.1097645085781,1.21677406559842,0,0,0,0,100,100,100,0.420311606238696,1.20278912188103,100,"[0, 100]","[0, 100]"
"39","saldo_cal4_1m",748.820763993949,1036.85742536366,1.38465367844959,0,0,0,370.06,1247.2125,2457.88,4286.6465,3.35353305876222,36.8572317583372,1247.2125,"[0, 4286.6465]","[0, 2029.26]"
"40","por_cal4_1m",51.6040895669291,49.2233382008534,0.953865064066521,0,0,0,89.325,100,100,100,-0.0605382827678318,1.02804142328993,100,"[0, 100]","[0, 100]"
"41","saldo_cal34_1m",810.636991931417,1171.02407459344,1.44457270794338,0,0,0,443.935,1318.6125,2696.23,4588.311,5.51315522222231,91.6839633000681,1318.6125,"[0, 4588.311]","[0, 2138.22]"
"42","por_cal34_1m",53.6558858267717,49.3390369596438,0.919545660264285,0,0,0,100,100,100,100,-0.140491818149389,1.03556867167434,100,"[0, 100]","[0, 100]"
"43","saldo_cal234_1m",863.172856782653,1354.08283656258,1.56872731333296,0,0,0,485.73,1368.345,2871.935,4892.749,8.29196617159013,165.204069662462,1368.345,"[0, 4892.749]","[0, 2193.34]"
"44","por_cal234_1m",55.1438238188976,49.2103145001783,0.892399385682683,0,0,0,100,100,100,100,-0.200850705591363,1.05635937406469,100,"[0, 100]","[0, 100]"
