"var","na_train","na_test"
"152","por_mora0_max1m12",0.285518188057653,0.334142394822006
"153","por_mora_0_min1m12",0.285518188057653,0.334142394822006
"154","por_vig_min1m12",0.285518188057653,0.334142394822006
"155","saldo_novig_max1m12",0.285518188057653,0.334142394822006
"156","por_novig_max1m12",0.285518188057653,0.334142394822006
"157","saldo_castigo_max1m12",0.285518188057653,0.334142394822006
"158","por_castigo_max1m12",0.285518188057653,0.334142394822006
"159","linea_activa_max1m12",0.773164035689774,0.8042071197411
"160","linea_total_max1m12",0.770761839396019,0.801779935275081
"161","linea_usada_max1m12",0.770761839396019,0.801779935275081
"162","por_uso_linea_max1m12",0.770761839396019,0.801779935275081
"163","disp_efectivo_max1m12",0.770761839396019,0.801779935275081
"164","por_uso_efectivo_max1m12",0.770761839396019,0.801779935275081
"165","saldo_me_max1m12",0.285518188057653,0.334142394822006
"166","por_me_max1m12",0.285518188057653,0.334142394822006
"167","expcred_1m12",0,0
"168","cv_saldo_1m12",0.285518188057653,0.334142394822006
"169","frec_por_cal0_100_1m12",0,0
"170","frec_por_cal4_100_1m12",0,0
"171","frec_calificacion_0_1m12",0,0
"172","frec_calificacion_4_1m12",0,0
"173","frec_calificacion_34_1m12",0,0
"174","frec_calificacion_234_1m12",0,0
"175","frec_calificacion_1234_1m12",0,0
"176","frec_mora_0_1m12",0,0
"177","frec_mora0_1m12",0,0
"178","frec_mora30_1m12",0,0
"179","frec_mora60_1m12",0,0
"180","frec_mora90_1m12",0,0
"181","frec_mora120_1m12",0,0
"182","ci_pv",0.115991763898421,0
